句子,冗余度(归一化),信息量(归一化),信息增益(归一化),信息熵(归一化),extropy(归一化),自信息(归一化)
《蓄滞洪区运用补偿办法》已经2025年6月13日国务院第61次常务会议通过，现予公布，自公布之日起施行。,0.0,0.9689171,1.0,0.6992382596285047,0.8636394595961495,1.0
"总理　　李强　    　　　  

2025年6月23日　　　　  





蓄滞洪区运用补偿办法



第一章　总　　则



第一条　为了保障蓄滞洪区的正常运用，确保受洪水威胁的重点地区的防洪安全，合理补偿蓄滞洪区内居民因蓄滞洪遭受的损失，根据《中华人民共和国防洪法》，制定本办法。",0.7880988403120747,0.8829117,0.21389078,1.0,1.0,0.559866683077779
第二条　本办法适用于国家蓄滞洪区。,0.45220365474354784,0.0,0.51704305,0.0,0.0,0.5096929309672994
国家蓄滞洪区名录由国务院水行政主管部门根据国家确定的重要江河、湖泊流域的防洪规划拟订，报国务院批准后公布。,0.6992499942641951,0.07545877,0.28126472,0.6929628090661386,0.8538706185633307,0.6133895989315865
"第三条　蓄滞洪区运用补偿，遵循下列原则：

（一）保障蓄滞洪区居民的基本生活；

（二）有利于蓄滞洪区恢复农业生产；

（三）与国家财政承受能力相适应。",0.9650887779970218,0.7238213,0.035637848,0.8269337824041358,0.904415063576088,0.7402830719349899
第四条　蓄滞洪区运用前，蓄滞洪区所在地地方各级人民政府应当组织有关部门和单位做好蓄滞洪区内人员、财产的转移和保护工作，尽量减少蓄滞洪造成的损失。,0.917610766325602,0.884358,0.085429974,0.8036711109388597,0.9027929242171221,0.1952533406535357
第五条　国务院财政主管部门和水行政主管部门依照本办法的规定，负责全国蓄滞洪区运用补偿工作的组织实施和监督管理。,0.8570565865017267,0.41501725,0.13593748,0.7140382840651333,0.8662649030267991,0.0
国务院水行政主管部门在国家确定的重要江河、湖泊设立的流域管理机构，对所辖区域内蓄滞洪区运用补偿工作实施监督、指导。,0.9856748500507466,0.3141605,0.008752618,0.842081774767946,0.9589415949502594,0.43371601807723476
蓄滞洪区所在地地方各级人民政府依照本办法的规定，负责本行政区域内蓄滞洪区运用补偿工作的具体实施和管理。,0.8372880247265374,1.0,0.16755657,0.6722158882150668,0.8430735911866567,0.049646664628343155
上一级人民政府应当对下一级人民政府的蓄滞洪区运用补偿工作实施监督。,1.0,0.6473089,0.0,0.31918881437386953,0.4753080062721368,0.06483276487573231
蓄滞洪区所在地县级以上地方人民政府财政、水行政、发展改革、自然资源、住房城乡建设、农业农村、应急管理、林业草原等有关部门按照职责分工，负责蓄滞洪区运用补偿的有关工作。,0.43843968849056114,0.0080767125,0.5305664,0.8402595897505072,0.8116640900041775,0.41398898077923135
第六条　国家鼓励、支持在蓄滞洪区推行洪水保险制度，鼓励保险机构根据蓄滞洪区运用后损失情况，开展洪水保险快速理赔和灾害应急预付赔款服务。,0.9919057484695417,0.4293678,0.0045149503,0.7959339899474338,0.908307736657775,0.7275976105287398
第七条　任何组织和个人不得骗取、侵吞和挪用蓄滞洪区运用补偿资金。,0.5832353082213718,0.9089547,0.41790566,0.41586808546334286,0.610326587339436,0.3670127424703848
第八条　审计机关应当加强对蓄滞洪区运用补偿资金的管理和使用情况的审计监督。,0.9001285072889122,0.6354362,0.09806127,0.4827836556967239,0.6713669327698986,0.43782997723575096
第九条　蓄滞洪区所在地地方各级人民政府有关部门应当充分运用现代信息技术手段，建立健全信息共享机制，提高蓄滞洪区运用补偿工作效率和水平。,0.8174998628948077,0.75600594,0.18196487,0.7595197283901481,0.8965483059893712,0.41186111937036024
